author,date,genre,gutenberg_id,source,title,viaf_author_uri
"Defoe, Daniel, 1661?-1731",1706,fic,36587,gutenberg,A True Relation OF THE APPARITION OF ONE Mrs. VEAL The next Day after Her DEATH: TO ONE Mrs. BARGRAVE At Canterbury. The 8th of September 1705.,http://viaf.org/viaf/39375774
"Congreve, William, 1670-1729",1713,fic,2363,gutenberg,INCOGNITA: OR LOVE AND DUTY RECONCIL'D. A NOVEL.,http://viaf.org/viaf/24616924
"Defoe, Daniel, 1661?-1731",1719,fic,11866,gutenberg,THE LIFE AND STRANGE SURPRIZING ADVENTURES OF ROBINSON CRUSOE Of YORK MARINER: Who lived Eight and Twenty Years all alone in an un-inhabited Island on the Coast of AMERICA near the Mouth of the Great River of OROONOQUE; Having been cast on Shore by Shipwreck wherein all the Men perished but himself.,http://viaf.org/viaf/39375774
"Defoe, Daniel, 1661?-1731",1719,fic,561,gutenberg,THE FARTHER ADVENTURES OF ROBINSON CRUSOE; Being the Second and Last Part OF HIS LIFE And of the STRANGE SURPRIZING ACCOUNTS of his TRAVELS Round three Parts of the Globe.,http://viaf.org/viaf/39375774
"Defoe, Daniel, 1661?-1731",1721,fic,370,gutenberg,THE FORTUNES AND MISFORTUNES Of the FAMOUS Moll Flanders &c.,http://viaf.org/viaf/39375774
"Carey, Henry, 1687?-1743",1726,fic,28105,gutenberg,A Learned Dissertation ON DUMPLING; Its Dignity Antiquity and Excellence. With a Word upon PUDDING. AND Many other Useful Discoveries of great Benefit to the Publick.,http://viaf.org/viaf/14965532
"Swift, Jonathan, 1667-1745",1726,fic,829,gutenberg,Gulliver's Travels into Several Remote Nations of the World,http://viaf.org/viaf/14777110
"Richardson, Samuel, 1689-1761",1741,fic,6124,gutenberg,PAMELA: OR VIRTUE Rewarded. In a SERIES of FAMILIAR LETTERS FROM A Beautiful Young DAMSEL To her PARENTS. Now first Published In order to cultivate the Principles of VIRTUE and RELIGION in the Minds of the YOUTH of BOTH SEXES.,http://viaf.org/viaf/41845728
"Haywood, Eliza, 1693-1756",1744,fic,10804,gutenberg,The Fortunate Foundlings,http://viaf.org/viaf/64027723
"Richardson, Samuel, 1689-1761",1748,fic,9296;9798; 9881;10462;10462;10799;11889;12180;12398,gutenberg,CLARISSA. OR THE HISTORY OF A YOUNG LADY: Comprehending The most Important Concerns of Private LIFE And particularly shewing The DISTRESSES that may attend the Misconduct Both of PARENTS and CHILDREN In Relation to MARRIAGE. Published by the EDITOR of PAMELA. VOL. IV.,http://viaf.org/viaf/41845728
"Smollett, Tobias George, 1721-1771",1748,fic,4085,gutenberg,THE ADVENTURES OF Roderick Random.,http://viaf.org/viaf/68935985
"Fielding, Henry, 1707-1754",1749,fic,6593,gutenberg,THE HISTORY OF TOM JONES A FOUNDLING.,http://viaf.org/viaf/61545697
"Lennox, Charlotte, ca. 1729-1804",1752,fic,50054,gutenberg,THE Female QUIXOTE; OR THE ADVENTURES OF ARABELLA. In TWO VOLUMES. VOL. II.,http://viaf.org/viaf/100288562
"Sterne, Laurence, 1713-1768",1759,fic,20257,gutenberg,A Political Romance Addressed To  Esq OF YORK. To which is subjoined a KEY.,http://viaf.org/viaf/61552699
"Sterne, Laurence, 1713-1768",1760,fic,1079,gutenberg,THE LIFE AND OPINIONS OF TRISTRAM SHANDY GENTLEMAN.,http://viaf.org/viaf/61552699
"Hawkesworth, John, 1715?-1773",1761,fic,14013,gutenberg,EDGAR and EMMELINE: A FAIRY TALE.,http://viaf.org/viaf/85970662
"Walpole, Horace, 1717-1797",1764,fic,696,gutenberg,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,http://viaf.org/viaf/17231985
"Goldsmith, Oliver, 1728-1774",1766,fic,2667,gutenberg,THE VICAR OF WAKEFIELD: A TALE. Supposed to be written by HIMSELF.,http://viaf.org/viaf/100167171
"Sterne, Laurence, 1713-1768",1768,fic,804,gutenberg,A SENTIMENTAL JOURNEY THROUGH FRANCE AND ITALY.,http://viaf.org/viaf/61552699
"Burney, Fanny, 1752-1840",1779,fic,6053,gutenberg,EVELINA; OR A YOUNG LADY's ENTRANCE INTO THE WORLD.,http://viaf.org/viaf/95297439
"Wollstonecraft, Mary",1788,fic,16357,gutenberg,Mary,http://viaf.org/viaf/51697482
"Hayley, William, 1745-1820",1789,fic,7371,gutenberg,THE YOUNG WIDOW; OR THE HISTORY OF CORNELIA SEDLEY IN A SERIES OF LETTERS.,http://viaf.org/viaf/45100846
"Trusler, John, 1735-1820",1790,fic,22500,gutenberg,Proverbs Exemplified AND ILLUSTRATED BY PICTURES FROM REAL LIFE.,http://viaf.org/viaf/66507465
"Inchbald, Mrs., 1753-1821",1791,fic,22002,gutenberg,A SIMPLE STORY. IN FOUR VOLUMES.,http://viaf.org/viaf/59084053
"Holcroft, Thomas, 1745-1809",1792,fic,9468,gutenberg,ANNA ST. IVES: A NOVEL.,http://viaf.org/viaf/56644486
"Holcroft, Thomas, 1745-1809",1794,fic,9811,gutenberg,THE ADVENTURES OF HUGH TREVOR. BY THOMAS HOLCROFT.,http://viaf.org/viaf/56644486
"Radcliffe, Ann Ward, 1764-1823",1794,fic,3268,gutenberg,THE MYSTERIES of UDOLPHO A ROMANCE; INTERSPERSED WITH SOME PIECES OF POETRY.,http://viaf.org/viaf/64010774
"Cumberland, Richard, 1732-1811",1795,fic,43529,gutenberg,HENRY; IN FOUR VOLUMES.,http://viaf.org/viaf/76451457
"Hays, Mary",1796,fic,41256,gutenberg,Memoirs of Emma Courtney,http://viaf.org/viaf/29629662
"Lewis, M. G. (Matthew Gregory), 1775-1818",1796,fic,601,gutenberg,THE MONK: A ROMANCE.,http://viaf.org/viaf/100160188
"Burney, Fanny",1796,fic,40619,gutenberg,Camilla,http://viaf.org/viaf/95297439
"Brown, Charles Brockden, 1771-1810",1798,fic,792,gutenberg,WIELAND; OR THE TRANSFORMATION.,http://viaf.org/viaf/49222478
"Godwin, William",1799,fic,53707,gutenberg,St. Leon,http://viaf.org/viaf/68929729
"Hays, Mary",1799,fic,1424,gutenberg,Victim of prejudice,http://viaf.org/viaf/29629662
"Brown, Charles Brockden, 1771-1810",1799,fic,18508,gutenberg,ARTHUR MERVYN; OR MEMOIRS OF THE YEAR 1793.,http://viaf.org/viaf/49222478
"Brown, Charles Brockden, 1771-1810",1800,fic,36289,gutenberg,ORMOND; OR THE SECRET WITNESS.,http://viaf.org/viaf/49222478
"Opie, Amelia Alderson",1805,fic,37908,gutenberg,Adeline Mowbray,http://viaf.org/viaf/39410771
"Dacre, Charlotte",1806,fic,45787,gutenberg,Zofloya,http://viaf.org/viaf/23386022
"Edgeworth, Maria",1806,fic,35638,gutenberg,Leonora (Volume 1/2),http://viaf.org/viaf/71477273
"Morgan, Lady (Sydney)",1807,fic,54683,gutenberg,Wild Irish girl,http://viaf.org/viaf/107533016
"More, Hannah",1809,fic,31879,gutenberg,Coelebs in search of a wife,http://viaf.org/viaf/51802053
"Austen, Jane",1810,fic,946,gutenberg,Lady Susan,http://viaf.org/viaf/102333412
"Porter, Jane",1810,fic,6086,gutenberg,Scottish chiefs,http://viaf.org/viaf/84690525
"Brunton, Mary",1811,fic,41196,gutenberg,Self-control,http://viaf.org/viaf/34532515
"Austen, Jane",1811,fic,161,gutenberg,Sense and sensibility,http://viaf.org/viaf/102333412
"Edgeworth, Maria",1812,fic,1473,gutenberg,The absentee,http://viaf.org/viaf/71477273
"Austen, Jane",1813,fic,1342,gutenberg,Pride and prejudice,http://viaf.org/viaf/102333412
"Barrett, Eaton Stannard",1814,fic,43065,gutenberg,The Heroine,http://viaf.org/viaf/13033207
"Scott, Walter, Sir",1814,fic,45697,gutenberg,Waverley,http://viaf.org/viaf/95207079
"Austen, Jane",1814,fic,141,gutenberg,Mansfield Park,http://viaf.org/viaf/102333412
"Scott, Walter, Sir",1815,fic,2590,gutenberg,Guy Mannering,http://viaf.org/viaf/95207079
"Scott, Walter, Sir",1816,fic,1460,gutenberg,Black dwarf,http://viaf.org/viaf/95207079
"Austen, Jane",1816,fic,158,gutenberg,Emma,http://viaf.org/viaf/102333412
"Scott, Walter, Sir",1816,fic,7005,gutenberg,Antiquary,http://viaf.org/viaf/95207079
"Scott, Walter, Sir",1816,fic,6941,gutenberg,Old mortality,http://viaf.org/viaf/95207079
"Beckford, William",1816,fic,42401,gutenberg,"Vathek, an Arabian tale",http://viaf.org/viaf/4926466
"Scott, Walter, Sir",1817,fic,16828,gutenberg,Rob Roy,http://viaf.org/viaf/95207079
"Austen, Jane",1818,fic,121,gutenberg,Northanger Abbey,http://viaf.org/viaf/102333412
"Ferrier, Susan",1818,fic,12669,gutenberg,Marriage,http://viaf.org/viaf/64052998
"Scott, Walter, Sir",1818,fic,6942,gutenberg,Heart of Mid-Lothian,http://viaf.org/viaf/95207079
"Peacock, Thomas Love",1818,fic,9909,gutenberg,Nightmare Abbey,http://viaf.org/viaf/17239611
"Shelley, Mary Wollstonecraft",1818,fic,6542,gutenberg,Frankenstein,http://viaf.org/viaf/6293
"Austen, Jane",1818,fic,105,gutenberg,Persuasion,http://viaf.org/viaf/102333412
"Scott, Walter, Sir",1819,fic,1461,gutenberg,A legend of Montrose,http://viaf.org/viaf/95207079
"Scott, Walter, Sir",1819,fic,26564,gutenberg,Ivanhoe,http://viaf.org/viaf/95207079
"Scott, Walter, Sir",1819,fic,471,gutenberg,Bride of Lammermoor,http://viaf.org/viaf/95207079
"Polidori, John William",1819,fic,6087,gutenberg,The vampyre : a tale,http://viaf.org/viaf/32079702
"Maturin, Charles Robert",1820,fic,53685;53686;53687;53688,gutenberg,Melmoth the wanderer,http://viaf.org/viaf/100248595
"Scott, Walter, Sir",1820,fic,6407,gutenberg,The Abbot (Vol. 2/3),http://viaf.org/viaf/95207079
"Galt, John",1821,fic,1310,gutenberg,Annals of the parish,http://viaf.org/viaf/61562976
"Scott, Walter, Sir",1821,fic,1606,gutenberg,Kenilworth,http://viaf.org/viaf/95207079
"Galt, John",1821,fic,1384,gutenberg,The Ayrshire legatees,http://viaf.org/viaf/61562976
"Badcock, John",1821,fic,20484,gutenberg,"Real Life In London, Volumes I. and II. Or, The Rambles And Adventures Of Bob Tallyho, Esq., And His Cousin, The Hon. Tom Dashall, Through The Metropolis; Exhibiting A Living Picture Of Fashionable Characters, Manners, And Amusements In High And Low Life (1821)",http://viaf.org/viaf/37970367
"Galt, John",1822,fic,1296,gutenberg,The provost,http://viaf.org/viaf/61562976
"Irving, Washington",1822,fic,13515,gutenberg,"Bracebridge Hall, or, The humorists : a medley (Vol. 2/2)",http://viaf.org/viaf/295999941
"Galt, John",1823,fic,14681,gutenberg,The spaewife; a tale of the Scottish chronicles (Vol. 2/3),http://viaf.org/viaf/61562976
"Scott, Walter, Sir",1823,fic,7853,gutenberg,Quentin Durward,http://viaf.org/viaf/95207079
"Galt, John",1823,fic,44573,gutenberg,The entail,http://viaf.org/viaf/61562976
"Scott, Walter, Sir",1824,fic,20749,gutenberg,St. Ronan's well,http://viaf.org/viaf/95207079
"Scott, Walter, Sir",1824,fic,2516,gutenberg,Redgauntlet,http://viaf.org/viaf/95207079
"Edgeworth, Maria",1825,fic,9455,gutenberg,Harry and Lucy concluded : being the last part of early lessons (Vol. 1/4),http://viaf.org/viaf/71477273
"Disraeli, Benjamin",1826,fic,9840,gutenberg,Vivian Grey,http://viaf.org/viaf/49233448
"Shelley, Mary Wollstonecraft",1826,fic,18247,gutenberg,Last Man,http://viaf.org/viaf/6293
"Scott, Walter, Sir",1826,fic,9785,gutenberg,"Woodstock : or, The cavalier; A tale of the year sixteen hundred and fifty-one (Vol. 1/3)",http://viaf.org/viaf/95207079
"Scott, Walter, Sir",1828,fic,1828,gutenberg,Chronicles of the Canongate. Second series (Vol. 1/3),http://viaf.org/viaf/95207079
"Lytton, Edward Bulwer Lytton",1828,fic,7623,gutenberg,Pelham,http://viaf.org/viaf/99871326
"Scott, Walter, Sir",1828,fic,1828,gutenberg,Chronicles of the Canongate. Second series (Vol. 3/3),http://viaf.org/viaf/95207079
"Peacock, Thomas Love",1831,fic,2075,gutenberg,Crotchet Castle,http://viaf.org/viaf/17239611
"Godwin, William",1831,fic,53707,gutenberg,St. Leon : a tale of the sixteenth century,http://viaf.org/viaf/68929729
"Shelley, Mary Wollstonecraft",1831,fic,6542,gutenberg,Frankenstein (revised),http://viaf.org/viaf/6293
"Cooper, James Fenimore",1831,fic,10363,gutenberg,The bravo : a tale (Vol. 1/2),http://viaf.org/viaf/27062769
"Lytton, Edward Bulwer Lytton",1832,fic,7614,gutenberg,Eugene Aram,http://viaf.org/viaf/99871326
"Lytton, Edward Bulwer Lytton, Baron",1834,fic,1565,gutenberg,The last days of Pompeii (Vol. 1/3),http://viaf.org/viaf/99871326
"Marryat, Frederick",1834,fic,21577,gutenberg,Peter Simple,http://viaf.org/viaf/39380934
"Lytton, Edward Bulwer Lytton, Baron",1834,fic,1565,gutenberg,The last days of Pompeii (Vol. 3/3),http://viaf.org/viaf/99871326
"Ainsworth, William Harrison",1834,fic,23564,gutenberg,Rookwood (Vol. 1/3),http://viaf.org/viaf/46894596
"Dickens, Charles",1837,fic,580,gutenberg,Pickwick Papers,http://viaf.org/viaf/88666393
"Trollope, Frances Milton",1837,fic,36686,gutenberg,Vicar of Wrexhill,http://viaf.org/viaf/34551336
"Dickens, Charles",1838,fic,730,gutenberg,Oliver Twist,http://viaf.org/viaf/88666393
"Taylor, Meadows",1839,fic,44881,gutenberg,Confessions of a thug,http://viaf.org/viaf/27100030
"Dickens, Charles",1839,fic,967,gutenberg,Nicholas Nickleby,http://viaf.org/viaf/88666393
"Thackeray, William Makepeace",1839,fic,1969,gutenberg,Catherine,http://viaf.org/viaf/95208604
"Ainsworth, William Harrison",1839,fic,16215,gutenberg,Jack Sheppard,http://viaf.org/viaf/46894596
"Dickens, Charles",1840,fic,9732,gutenberg,Barnaby Rudge,http://viaf.org/viaf/88666393
"Ainsworth, William Harrison",1840,fic,49850,gutenberg,"The Tower of London, a historical romance",http://viaf.org/viaf/46894596
"Marryat, Frederick",1840,fic,21575,gutenberg,Poor Jack,http://viaf.org/viaf/39380934
"Dickens, Charles",1840,fic,700,gutenberg,The old curiosity shop,http://viaf.org/viaf/88666393
"Lever, Charles James",1841,fic,8577,gutenberg,"Charles O'Malley, the Irish dragoon (Vol. 2/2)",http://viaf.org/viaf/32083550
"Dickens, Charles",1843,fic,19337,gutenberg,A Christmas carol,http://viaf.org/viaf/88666393
"Disraeli, Benjamin",1844,fic,7412,gutenberg,Coningsby,http://viaf.org/viaf/49233448
"Lever, Charles",1844,fic,31901,gutenberg,Tom Burke Of ours,http://viaf.org/viaf/32083550
"Dickens, Charles",1844,fic,968,gutenberg,Martin Chuzzlewit,http://viaf.org/viaf/88666393
"Lever, Charles James",1845,fic,32083,gutenberg,St. Patrick's Eve,http://viaf.org/viaf/32083550
"Disraeli, Benjamin",1845,fic,3760,gutenberg,Sybil,http://viaf.org/viaf/49233448
"Melville, Herman",1846,fic,1900,gutenberg,Typee : a peep at Polynesian life. During a four months' residence in a valley of the Marquesas,http://viaf.org/viaf/27068555
"Melville, Herman",1847,fic,4045,gutenberg,Omoo: a narrative of adventures in the South Seas,http://viaf.org/viaf/27068555
"Dickens, Charles",1848,fic,821,gutenberg,Dombey and Son,http://viaf.org/viaf/88666393
"Newman, John Henry",1848,fic,24574,gutenberg,Loss and gain,http://viaf.org/viaf/17227308
"Thackeray, William Makepeace",1848,fic,599,gutenberg,Vanity Fair,http://viaf.org/viaf/95208604
"Gaskell, Elizabeth Cleghorn",1849,fic,2153,gutenberg,Mary Barton,http://viaf.org/viaf/39377536
"Thackeray, William Makepeace",1849,fic,7265,gutenberg,"The history of Pendennis. His fortunes and misfortunes, his friends and his greatest enemy (Vol. 1/2)",http://viaf.org/viaf/95208604
"Thackeray, William Makepeace",1849,fic,7265,gutenberg,Pendennis,http://viaf.org/viaf/95208604
"Kingsley, Charles",1850,fic,8374,gutenberg,Alton Locke,http://viaf.org/viaf/27081838
"Thackeray, William Makepeace",1850,fic,2675_excerpt,gutenberg,Rebecca and Rowena,http://viaf.org/viaf/95208604
"Lever, Charles James",1850,fic,33468;33469,gutenberg,Roland Cashel,http://viaf.org/viaf/32083550
"Dickens, Charles",1850,fic,766,gutenberg,David Copperfield,http://viaf.org/viaf/88666393
"Borrow, George Henry",1851,fic,20198,gutenberg,Lavengro,http://viaf.org/viaf/49240695
"Thackeray, William Makepeace",1852,fic,2511,gutenberg,Henry Esmond,http://viaf.org/viaf/95208604
"Eastman, Mary Henderson",1852,fic,16741,gutenberg,"Aunt Phillis's Cabin: Or, Southern Life As It Is",http://viaf.org/viaf/316763066
"Stowe, Harriet Beecher",1852,fic,203,gutenberg,"Uncle Tom's cabin or, Life among the lowly (Vol. 1/2)",http://viaf.org/viaf/32003151
"Yonge, Charlotte Mary",1853,fic,2505,gutenberg,Heir of Redclyffe,http://viaf.org/viaf/71399881
"Bronte, Charlotte",1853,fic,9182,gutenberg,Villette,http://viaf.org/viaf/71388025
"Dickens, Charles",1853,fic,1023,gutenberg,Bleak House,http://viaf.org/viaf/88666393
"Gaskell, Elizabeth Cleghorn",1853,fic,4275,gutenberg,Ruth,http://viaf.org/viaf/39377536
"Thackeray, William Makepeace",1854,fic,7467,gutenberg,Newcomes,http://viaf.org/viaf/95208604
"Dickens, Charles",1854,fic,786,gutenberg,Hard times,http://viaf.org/viaf/88666393
"Trollope, Anthony",1855,fic,619,gutenberg,Warden,http://viaf.org/viaf/61683295
"Gaskell, Elizabeth Cleghorn",1855,fic,4276,gutenberg,North and south,http://viaf.org/viaf/39377536
"Thackeray, William Makepeace",1856,fic,4558,gutenberg,Barry Lyndon,http://viaf.org/viaf/95208604
"Yonge, Charlotte Mary",1856,fic,3610,gutenberg,Daisy chain,http://viaf.org/viaf/71399881
"Trollope, Anthony",1857,fic,3409,gutenberg,Barchester Towers,http://viaf.org/viaf/61683295
"Hughes, Thomas",1857,fic,1480,gutenberg,Tom Brown's school days,http://viaf.org/viaf/41888346
"Bronte, Charlotte",1857,fic,1028,gutenberg,The professor,http://viaf.org/viaf/71388025
"Dickens, Charles",1857,fic,963,gutenberg,Little Dorrit,http://viaf.org/viaf/88666393
"Farrar, Frederic William",1858,fic,23126,gutenberg,"Eric, or Little by Little",http://viaf.org/viaf/72172918
"Trollope, Anthony",1858,fic,7481,gutenberg,Three clerks,http://viaf.org/viaf/61683295
"Trollope, Anthony",1858,fic,3166,gutenberg,Doctor Thorne,http://viaf.org/viaf/61683295
"Ballantyne, R. M.",1858,fic,646,gutenberg,The Coral Island,http://viaf.org/viaf/64050447
"Eliot, George",1858,fic,17780,gutenberg,Scenes of clerical life,http://viaf.org/viaf/89000553
"Thackeray, William Makepeace",1858,fic,8123,gutenberg,The Virginians,http://viaf.org/viaf/95208604
"Dickens, Charles",1859,fic,98,gutenberg,A tale of two cities,http://viaf.org/viaf/88666393
"Meredith, George",1859,fic,4412,gutenberg,Ordeal of Richard Feverel,http://viaf.org/viaf/14773801
"Eliot, George",1859,fic,507,gutenberg,Adam Bede,http://viaf.org/viaf/89000553
"Collins, Wilkie",1860,fic,2002,gutenberg,The woman in white,http://viaf.org/viaf/95173526
"Eliot, George",1860,fic,6688,gutenberg,The mill on the floss,http://viaf.org/viaf/89000553
"Trollope, Anthony",1861,fic,2860,gutenberg,Framley Parsonage,http://viaf.org/viaf/61683295
"Meredith, George",1861,fic,4434,gutenberg,Evan Harrington,http://viaf.org/viaf/14773801
"Eliot, George",1861,fic,550,gutenberg,Silas Marner,http://viaf.org/viaf/89000553
"Reade, Charles",1861,fic,1366,gutenberg,Cloister and hearth,http://viaf.org/viaf/44314913
"Dickens, Charles",1861,fic,1400,gutenberg,Great expectations,http://viaf.org/viaf/88666393
"Wood, Henry, Mrs.",1861,fic,3322,gutenberg,East Lynne,http://viaf.org/viaf/14898332
"Braddon, M. E.",1862,fic,8954,gutenberg,Lady Audley's secret,http://viaf.org/viaf/66826682
"Collins, Wilkie",1862,fic,1438,gutenberg,No name,http://viaf.org/viaf/95173526
"Kingsley, Charles",1863,fic,1018,gutenberg,Water-babies,http://viaf.org/viaf/27081838
"Gaskell, Elizabeth Cleghorn",1863,fic,4537,gutenberg,Sylvia's lovers,http://viaf.org/viaf/39377536
"Reade, Charles",1863,fic,3067,gutenberg,Hard cash,http://viaf.org/viaf/44314913
"Eliot, George",1863,fic,24020,gutenberg,Romola,http://viaf.org/viaf/89000553
"Oliphant, Mrs. (Margaret)",1863,fic,42013;42044,gutenberg,Salem Chapel,http://viaf.org/viaf/49256072
"Le Fanu, Joseph Sheridan",1864,fic,14851,gutenberg,Uncle Silas,http://viaf.org/viaf/9849196
"Trollope, Anthony",1864,fic,19500,gutenberg,Can you forgive her?,http://viaf.org/viaf/61683295
"Charles, Elizabeth Rundle",1864,fic,36433,gutenberg,Chronicles of the Schonberg-Cotta family,http://viaf.org/viaf/95236972
"Trollope, Anthony",1864,fic,4599,gutenberg,Small house at Allington,http://viaf.org/viaf/61683295
"Dickens, Charles",1865,fic,883,gutenberg,Our mutual friend,http://viaf.org/viaf/88666393
"Lever, Charles James",1865,fic,35717,gutenberg,Luttrell Of Arran,http://viaf.org/viaf/32083550
"Carroll, Lewis",1866,fic,11,gutenberg,Alice's adventures in Wonderland,http://viaf.org/viaf/66462036
"Eliot, George",1866,fic,40882,gutenberg,Felix Holt,http://viaf.org/viaf/89000553
"Collins, Wilkie",1866,fic,1895,gutenberg,Armadale,http://viaf.org/viaf/95173526
"Kingsley, Charles",1866,fic,7815,gutenberg,Hereward the wake,http://viaf.org/viaf/27081838
"Gaskell, Elizabeth Cleghorn",1866,fic,4274,gutenberg,Wives and daughters,http://viaf.org/viaf/39377536
"Trollope, Anthony",1867,fic,3045,gutenberg,Last chronicle of Barset,http://viaf.org/viaf/61683295
Ouida,1867,fic,3465,gutenberg,Under two flags,http://viaf.org/viaf/34490941
